2506,2506,434,663
2504,2504,461,662
2502,2502,483,669
2511,2511,380,696
2509,2509,400,702
2507,2507,414,704
2505,2505,434,706
2503,2503,448,704
2501,2501,467,702
2510,2510,504,718
2560,2560,522,671
2320,2320,339,1079
2510,2510,445,729
2310,2310,303,1048
